Date (GMT+1),Non-Renewable,Renewable
,Power (MW),Power (MW)
2024-01-03T14:15+01:00,11515.85328,55988.79202
2024-01-03T14:30+01:00,11453.07422,54933.35712
2024-01-03T14:45+01:00,11478.36541,53875.90211
2024-01-03T15:00+01:00,11571.75337,52483.55548
2024-01-03T15:15+01:00,11607.18733,51334.2387
2024-01-03T15:30+01:00,11848.57357,50398.53653
2024-01-03T15:45+01:00,12174.5287,49608.219
2024-01-03T16:00+01:00,12746.68176,48879.30496
2024-01-03T16:15+01:00,13025.92581,48150.24914
2024-01-03T16:30+01:00,13189.4834,47436.97987
2024-01-03T16:45+01:00,13321.05599,46961.42712
2024-01-03T17:00+01:00,13620.6123,46467.65698
2024-01-03T17:15+01:00,13808.98788,46274.12315
2024-01-03T17:30+01:00,14145.96221,45751.77984
2024-01-03T17:45+01:00,14146.69317,45433.96553
2024-01-03T18:00+01:00,14215.00708,44983.35794
2024-01-03T18:15+01:00,14211.65451,44662.15443
2024-01-03T18:30+01:00,14235.06945,44363.05558
2024-01-03T18:45+01:00,14251.62242,44205.13012
2024-01-03T19:00+01:00,13975.8267,43775.24339
2024-01-03T19:15+01:00,13851.54795,43380.90037
2024-01-03T19:30+01:00,13726.17387,42961.12663
2024-01-03T19:45+01:00,13502.48391,42563.13619
2024-01-03T20:00+01:00,13316.5384,42151.87319
2024-01-03T20:15+01:00,13223.17577,42038.20895
2024-01-03T20:30+01:00,13096.80413,42028.40958
2024-01-03T20:45+01:00,12773.56072,41989.89003
2024-01-03T21:00+01:00,12417.58656,41954.14366
2024-01-03T21:15+01:00,12239.4637,41694.53713
2024-01-03T21:30+01:00,11873.66807,41412.17236
2024-01-03T21:45+01:00,11668.05223,41129.12636
2024-01-03T22:00+01:00,11419.53597,40393.35526
2024-01-03T22:15+01:00,11447.16258,40303.87092
2024-01-03T22:30+01:00,11426.85224,40435.37316
2024-01-03T22:45+01:00,11326.53604,40484.52773
2024-01-03T23:00+01:00,11236.38333,40539.65998
2024-01-03T23:15+01:00,11170.91829,40665.36775
2024-01-03T23:30+01:00,11082.13021,40809.01453
2024-01-03T23:45+01:00,10968.84649,40923.16798
2024-01-04T00:00+01:00,10784.18149,40953.67055
2024-01-04T00:15+01:00,10428.20032,41037.83277
2024-01-04T00:30+01:00,10416.30722,41204.22791
2024-01-04T00:45+01:00,10282.15056,41357.74661
2024-01-04T01:00+01:00,10147.58337,41422.86906
2024-01-04T01:15+01:00,10057.06979,41557.77881
2024-01-04T01:30+01:00,10140.11952,42020.31384
2024-01-04T01:45+01:00,10074.25923,42155.39473
2024-01-04T02:00+01:00,10040.8819,42480.32064
2024-01-04T02:15+01:00,10150.99784,43001.42988
2024-01-04T02:30+01:00,10212.58468,43091.91413
2024-01-04T02:45+01:00,10196.6938,42990.25036
2024-01-04T03:00+01:00,10296.32745,43318.83726
2024-01-04T03:15+01:00,10296.71854,43455.83603
2024-01-04T03:30+01:00,10286.87647,43409.84189
2024-01-04T03:45+01:00,10271.03545,43260.02683
2024-01-04T04:00+01:00,10211.20559,43364.05527
2024-01-04T04:15+01:00,10253.11193,43745.9597
2024-01-04T04:30+01:00,10328.96069,43970.97813
2024-01-04T04:45+01:00,10444.42093,44068.15505
2024-01-04T05:00+01:00,10883.44854,44203.26473
2024-01-04T05:15+01:00,11110.13355,44307.63723
2024-01-04T05:30+01:00,11251.74469,44394.48928
2024-01-04T05:45+01:00,11422.28039,44153.1437
2024-01-04T06:00+01:00,12310.88701,44346.89868
2024-01-04T06:15+01:00,12846.43096,44000.20935
2024-01-04T06:30+01:00,13203.98831,43682.78865
2024-01-04T06:45+01:00,14121.8266,43433.20993
2024-01-04T07:00+01:00,15112.84576,43180.35272
2024-01-04T07:15+01:00,15768.73039,43161.32796
2024-01-04T07:30+01:00,16035.91521,42801.06335
2024-01-04T07:45+01:00,16399.34036,42389.56723
2024-01-04T08:00+01:00,16690.22532,42130.66559
2024-01-04T08:15+01:00,16877.5933,41634.8991
2024-01-04T08:30+01:00,17016.57941,41363.99114
2024-01-04T08:45+01:00,17131.00085,41090.73962
2024-01-04T09:00+01:00,17554.50543,41015.32736
2024-01-04T09:15+01:00,17758.61235,41027.14974
2024-01-04T09:30+01:00,18026.12725,41327.74729
2024-01-04T09:45+01:00,18021.50067,41382.51073
2024-01-04T10:00+01:00,18099.6301,41672.21287
2024-01-04T10:15+01:00,17946.7544,41908.72894
2024-01-04T10:30+01:00,17917.20416,41767.66242
2024-01-04T10:45+01:00,17870.52139,41595.26671
2024-01-04T11:00+01:00,17970.70798,41538.92854
2024-01-04T11:15+01:00,17979.08049,41392.80843
2024-01-04T11:30+01:00,18183.24259,41402.21463
2024-01-04T11:45+01:00,18174.12929,41100.11401
2024-01-04T12:00+01:00,18504.80635,40225.26999
2024-01-04T12:15+01:00,18634.61635,39386.88002
2024-01-04T12:30+01:00,19024.93398,39025.30291
2024-01-04T12:45+01:00,19460.82878,38578.8192
2024-01-04T13:00+01:00,19751.47095,37359.292
2024-01-04T13:15+01:00,19864.74021,36646.14227
2024-01-04T13:30+01:00,20032.48126,35761.13221
2024-01-04T13:45+01:00,20181.47969,34841.25423
2024-01-04T14:00+01:00,20911.2815,33448.70852
2024-01-04T14:15+01:00,21197.08088,32418.47994
2024-01-04T14:30+01:00,21466.14134,31392.27091
2024-01-04T14:45+01:00,21848.99442,30501.45133
2024-01-04T15:00+01:00,23399.68018,29005.09627
2024-01-04T15:15+01:00,23583.51221,27787.30828
2024-01-04T15:30+01:00,23727.65139,26639.85562
2024-01-04T15:45+01:00,24164.2869,25551.8341
2024-01-04T16:00+01:00,24578.13488,24629.18581
2024-01-04T16:15+01:00,24954.12091,24005.9823
2024-01-04T16:30+01:00,25246.13481,23422.17665
2024-01-04T16:45+01:00,25469.50944,22495.43689
2024-01-04T17:00+01:00,25675.59485,21947.83815
2024-01-04T17:15+01:00,25615.31368,21457.75456
2024-01-04T17:30+01:00,25843.83024,20884.88219
2024-01-04T17:45+01:00,26289.03463,20279.72145
2024-01-04T18:00+01:00,26628.73823,19635.31183
2024-01-04T18:15+01:00,26708.65076,19053.31038
2024-01-04T18:30+01:00,26636.68087,18563.00017
2024-01-04T18:45+01:00,26598.86818,18197.57929
2024-01-04T19:00+01:00,26533.34342,17453.44533
2024-01-04T19:15+01:00,26503.02081,17152.57086
2024-01-04T19:30+01:00,26166.22249,17001.28613
2024-01-04T19:45+01:00,26090.74062,16677.54082
2024-01-04T20:00+01:00,25931.98047,17022.14154
2024-01-04T20:15+01:00,25723.85197,16425.3932
2024-01-04T20:30+01:00,25429.68414,16269.37609
2024-01-04T20:45+01:00,25264.19286,16173.20167
2024-01-04T21:00+01:00,25247.77863,16281.49978
2024-01-04T21:15+01:00,24980.09873,16057.75116
2024-01-04T21:30+01:00,24752.29721,15975.85295
2024-01-04T21:45+01:00,24336.51615,16170.06422
2024-01-04T22:00+01:00,23676.39892,16651.32047
2024-01-04T22:15+01:00,23424.65051,16931.05131
2024-01-04T22:30+01:00,22888.2356,17079.85763
2024-01-04T22:45+01:00,22214.56736,17100.97433
2024-01-04T23:00+01:00,21321.045,17272.19132
2024-01-04T23:15+01:00,20826.52579,17330.08006
2024-01-04T23:30+01:00,20300.23445,17578.60507
2024-01-04T23:45+01:00,19918.35418,17962.09168
2024-01-05T00:00+01:00,19834.79509,18588.86274
2024-01-05T00:15+01:00,19232.14658,18899.50748
2024-01-05T00:30+01:00,18948.26994,19100.01985
2024-01-05T00:45+01:00,18797.14861,19461.59192
2024-01-05T01:00+01:00,18342.32069,20014.79717
2024-01-05T01:15+01:00,18036.17222,20429.83428
2024-01-05T01:30+01:00,17889.71563,20999.64938
2024-01-05T01:45+01:00,17828.77687,21433.47022
2024-01-05T02:00+01:00,17793.22876,21768.38618
2024-01-05T02:15+01:00,17633.02388,22333.93457
2024-01-05T02:30+01:00,17609.18335,22872.56529
2024-01-05T02:45+01:00,17558.59718,23477.72612
2024-01-05T03:00+01:00,17568.54873,24121.43084
2024-01-05T03:15+01:00,17469.59343,24700.55214
